incident_id,date,reports,Alleged deployer of AI system,Alleged developer of AI system,Alleged harmed or nearly harmed parties,description,title
78,06/07/2020,[1341],"[""international-baccalaurette""]","[""international-baccalaurette""]","[""international-baccalaureate-students""]","In response to the Covid-19 pandemic, the International Baccalaureate final exams were replaced by a calculated score, prompting complaints of unfairness from teachers and students.",Meet the Secret Algorithm That's Keeping Students Out of College
86,08/10/2020,"[1386,2038]","[""irish-department-of-education-and-skills""]","[""irish-department-of-education-and-skills""]","[""leaving-certificate-exam-takers"",""irish-department-of-education-and-skills""]",Errors in Irish Department of Education's algorithm to calculate students' Leaving Certificate exam grades resulted in thousands of inaccurate scores.,Coding Errors in Leaving Certificate Grading Algorithm Caused Inaccurate Scores in Ireland
91,18/12/2020,"[1391,1392,1463,1720,1779]","[""stanford-medical-center""]","[""stanford-medical-center""]","[""stanford-medical-frontline-workers"",""stanford-medical-residents""]","In 2020, Stanford Medical Center's distribution algorithm only designated 7 of 5,000 vaccines to Medical Residents, who are frontline workers regularly exposed to COVID-19.",Frontline workers protest at Stanford after hospital distributed vaccine to administrators
94,27/11/2020,"[1395,1473]","[""deliveroo""]","[""deliveroo""]","[""deliveroo-workers-with-legitimate-reasons-for-cancelling-shifts"",""deliveroo-workers""]","In December 2020, an Italian court ruled that Deliveroo's employee 'reliability' algorithm illegally discriminated against workers with legitimate reasons for cancelling shifts.",Court Rules Deliveroo Used 'Discriminatory' Algorithm
95,06/11/2019,"[2133,2132,1397,2194]","[""hirevue""]","[""hirevue""]","[""job-applicants-using-hirevue"",""hirevue-customers""]","In January 2021, HireVue removed the controversial AI expression tracking tool from its virtual job interview software.",Job Screening Service Halts Facial Analysis of Applicants
96,08/05/2017,[1398],"[""houston-independent-school-district""]","[""sas-institute""]","[""houston-independent-school-district-teachers""]","On May 4, 2017, a U.S. federal judge advanced teachers' claims that the Houston Independent School District's algorithmic teacher evaluations violated their due process rights to their jobs by not allowing them to review the grounds of their termination.",Houston Schools Must Face Teacher Evaluation Lawsuit
99,01/01/2012,[1402],"[""university-of-massachusetts-amherst"",""university-of-wisconsin-milwaukee"",""university-of-houston"",""texas-aandm-university"",""georgia-state-university"",""more-than-500-colleges""]","[""eab""]","[""black-college-students"",""latinx-college-students"",""indigenous-students""]",Several major universities are using a tool that uses race as one factor to predict student success.,Major Universities Are Using Race as a '“High Impact Predictor' of Student Success
100,17/03/2021,[1403],"[""french-welfare-offices""]","[""unknown""]","[""lucie-inland""]",A French welfare office using software to automatically evaluate cases incorrectly notified a woman receiving benefits that she owed '542.,How French welfare services are creating 'robo-debt'
101,01/09/2018,"[1404,1575,1863,2570,2805,2845]","[""dutch-tax-authority""]","[""unknown""]","[""dutch-tax-authority"",""dutch-families""]","A childcare benefits system in the Netherlands falsely accused thousands of families of fraud, in part due to an algorithm that treated having a second nationality as a risk factor.",Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm
104,12/02/2021,[1407],"[""california-department-of-public-health""]","[""blue-shield-of-california""]","[""california-low-income-neighborhoods"",""california-communities-of-color""]","California's vaccine-distribution algorithm used ZIP codes as opposed to census tracts in its decision-making, which critics said undermined equity and access for vulnerable communities who are largely low-income, underserved neighborhoods with low Healthy Places Index scores.","California's Algorithm Considered ZIP Codes in Vaccine Distribution, Allegedly Excluding Low-Income Neighborhoods and Communities of Color"
110,01/01/2016,"[1413,2651]","[""arkansas-department-of-human-services""]","[""interrai""]","[""arkansas-medicaid-waiver-program-beneficiaries"",""arkansas-healthcare-workers""]","Beneficiaries of the Arkansas Department of Human Services (DHS)'s Medicaid waiver program were allocated excessively fewer hours of caretaker visit via an algorithm deployed to boost efficiency, which reportedly contained errors and whose outputs varied wildly despite small input changes.",Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries
111,25/09/2015,"[1426,1427,1428,1429,1430]","[""amazon-flex""]","[""amazon""]","[""amazon-flex-employees"",""amazon-flex-drivers""]",Amazon Flex's contract delivery drivers were dismissed using a minimally human-interfered automated employee performance evaluation based on indicators impacted by out-of-driver's-control factors and without having a chance to defend against or appeal the decision.,Amazon Flex Drivers Allegedly Fired via Automated Employee Evaluations
112,09/10/2012,"[2831,2623,2496,2495,2250,1821,1810,1436,1435,1434,1433,1432,3654,4057,4058]","[""troy-police-department"",""syracuse-police-department"",""san-francisco-police-department"",""san-antonio-police-department"",""new-york-city-police-department"",""fall-river-police-department"",""chicago-police-department""]","[""shotspotter""]","[""troy-residents"",""troy-police-department"",""syracuse-residents"",""syracuse-police-department"",""san-francisco-residents"",""san-francisco-police-department"",""san-antonio-residents"",""san-antonio-police-department"",""new-york-city-residents"",""new-york-city-police-department"",""fall-river-residents"",""fall-river-police-department"",""chicago-residents"",""chicago-police-department""]","ShotSpotter algorithmic systems locating gunshots were reported by police departments for containing high false positive rates and wasting police resources, prompting discontinuation.",Police Departments Reported ShotSpotter as Unreliable and Wasteful
116,20/09/2021,"[1441,1803]","[""amazon""]","[""netradyne""]","[""amazon-delivery-drivers"",""amazon-workers""]","Amazon's automated performance evaluation system involving AI-powered cameras incorrectly punished delivery drivers for non-existent mistakes, impacting their chances for bonuses and rewards.",Amazon's AI Cameras Incorrectly Penalized Delivery Drivers for Mistakes They Did Not Make
119,03/08/2021,"[1444,1800,1801,1802]","[""xsolla""]","[""unknown""]","[""xsolla-employees""]","Xsolla CEO fired more than a hundred employees from his company in Perm, Russia, based on big data analysis of their remote digitized-work activity, which critics said was violating employee's privacy, outdated, and extremely ineffective.",Xsolla Employees Fired by CEO Allegedly via Big Data Analytics of Work Activities
123,01/08/2021,"[1449,2651,2705,3013,3012]","[""university-of-michigan-hospital""]","[""epic-systems""]","[""sepsis-patients""]","Epic System's sepsis prediction algorithms was shown by investigators at the University of Michigan Hospital to have high rates of false positives and false negatives, allegedly delivering inaccurate and irrelevant information on patients, contrasting sharply with their published claims.",Epic Systems's Sepsis Prediction Algorithms Revealed to Have High Error Rates on Seriously Ill Patients
124,24/10/2019,"[1450,1522,2262,2652,2651,2704,2856]","[""unnamed-large-academic-hospital""]","[""optum""]","[""black-patients""]","Researchers analyzing an Optum algorithm used by a large academic hospital reportedly found evidence that it tended to under-predict the health care needs of Black patients, which in turn appeared to result in lower prioritization for extra care programs compared with white patients exhibiting similar health profiles.",Optum Algorithmic Health Risk Scores Reportedly Underestimated Black Patients' Needs
125,29/09/2020,"[1451,1452,1460]","[""amazon""]","[""amazon""]","[""amazon-fulfillment-center-workers""]",Amazon's robotic fulfillment centers have higher serious injury rates.,Amazon's Robotic Fulfillment Centers Have Higher Serious Injury Rates
126,16/07/2021,"[1453,1454,1455,1532]","[""ocado""]","[""ocado""]","[""ocado""]","A collision involving three robots at an Ocado's warehouse in Erith, UK, resulting in a fire but no reports of injuries.","Three Robots Collided, Sparking Fire in a Grocer's Warehouse in UK "
127,06/06/2020,"[1456,1457,1458,1461,1486,1487,1488,1489,1490,1491,1492,1493]","[""microsoft"",""msn.com""]","[""microsoft""]","[""jade-thirlwall"",""leigh-anne-pinnock""]","A news story published on MSN.com featured a photo of the wrong mixed-race person that was allegedly selected by an algorithm, following Microsoft's layoff and replacement of journalists and editorial workers at its organizations with AI systems.",Microsoft's Algorithm Allegedly Selected Photo of the Wrong Mixed-Race Person Featured in a News Story
131,04/12/2020,"[1465,1771]","[""california-bar's-committee-of-bar-examiners""]","[""examsoft""]","[""california-bar-exam-takers"",""flagged-california-bar-exam-takers""]","The proctoring algorithm used in a California bar exam cited a third of thousands of applicants as cheaters, resulting in allegations where exam takers were instructed to prove otherwise without seeing their incriminating video evidence.",Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters
134,25/12/2020,"[1469,1951]","[""fuzhou-zhongfang-marlboro-mall""]","[""unknown""]","[""fuzhou-zhongfang-marlboro-mall-goers""]","A shopping guide robot deployed by the Fuzhou Zhongfang Marlboro Mall was shown on video allegedly walking to the escalator by itself, falling down, and knocking over passengers, which prompted its suspension.","Robot in Chinese Shopping Mall Fell off the Escalator, Knocking down Passengers"
135,01/12/2012,"[1470,1871]","[""university-of-texas-at-austin's-department-of-computer-science""]","[""university-of-texas-at-austin-researchers""]","[""university-of-texas-at-austin-phd-applicants-of-marginalized-groups""]","The University of Texas at Austin's Department of Computer Science's assistive algorithm to assess PhD applicants ""GRADE"" raised concerns among faculty about worsening historical inequalities for marginalized candidates, prompting its suspension.",UT Austin GRADE Algorithm Allegedly Reinforced Historical Inequalities
137,11/01/2021,[1474],"[""israeli-tax-authority""]","[""israeli-tax-authority""]","[""moshe-har-shemesh"",""israeli-people-having-tax-fines""]","An Israeli farmer was imposed a computer generated fine by the tax authority, who allegedly were not able to explain its calculation, and refused to disclose the program and its source code.","Israeli Tax Authority Employed Opaque Algorithm to Impose Fines, Reportedly Refusing to Provide an Explanation for Amount Calculation to a Farmer"
138,21/01/2020,"[1475,1505,1555,1556,2442,2434]","[""university-of-illinois""]","[""proctorio""]","[""university-of-illinois-students-of-color"",""university-of-illinois-students""]","Proctorio's remote-testing software were reported by students at the University of Illinois Urbana-Champaign for issues regarding privacy, accessibility, differential performance on darker-skinned students.",Alleged Issues with Proctorio's Remote-Testing AI Prompted Suspension by University
140,01/06/2020,[1478],"[""university-of-toronto""]","[""proctoru""]","[""university-of-toronto-bipoc-students""]","An exam monitoring service used by the University of Toronto was alleged by its students to have provided discriminatory check-in experiences via its facial recognition's failure to verify passport photo, disproportionately enhancing disadvantaging stress level for BIPOC students.",ProctorU's Identity Verification and Exam Monitoring Systems Provided Allegedly Discriminatory Experiences for BIPOC Students
149,02/11/2021,"[1500,1501,1890,2925]","[""zillow""]","[""zillow-offers""]","[""zillow-offers-staff"",""zillow""]","Zillow's AI-powered predictive pricing tool Zestimate was allegedly not able to accurately forecast housing prices three to six months in advance due to rapid market changes, prompting division shutdown and layoff of a few thousand employees.",Zillow Shut Down Zillow Offers Division Allegedly Due to Predictive Pricing Tool's Insufficient Accuracy
152,13/07/2021,"[1509,1510]","[""softbank""]","[""aldebaran"",""softbank-robotics""]","[""softbank""]","SoftBank's robot allegedly kept making mechanical errors, taking unplanned breaks, failing to recognize previously-met people, and breaking down during practice runs.","SoftBank's Humanoid Robot, Pepper, Reportedly Frequently Made Errors, Prompting Dismissal"
154,26/01/2022,[1512],"[""us-department-of-justice""]","[""us-department-of-justice""]","[""inmates-of-color""]","Department of Justice's inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.",Justice Department's Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines
157,15/03/2021,[1516],"[""amazon""]","[""amazon""]","[""amazon-workers"",""amazon-delivery-drivers""]","A lawsuit cited Amazon as liable in a crash involving its delivery driver, alleging that Amazon's AI-powered driver monitoring system pushed drivers to prioritize speed over safety.","Amazon's Monitoring System Allegedly Pushed Delivery Drivers to Prioritize Speed over Safety, Leading to Crash"
162,01/01/2014,[1531],"[""ets""]","[""ets""]","[""uk-ets-past-test-takers"",""uk-ets-test-takers"",""uk-home-office""]"," International testing organization ETS admits voice recognition as evidence of cheating for thousands of previous TOEIC test-takers that reportedly included wrongfully accused people, causing them to be deported without an appeal process or seeing their incriminating evidence.","ETS Used Allegedly Flawed Voice Recognition Evidence to Accuse and Assess Scale of Cheating, Causing Thousands to be Deported from the UK"
171,18/10/2021,[1549],"[""bath-government""]","[""unknown""]","[""paula-knight"",""bath-officials"",""uk-public""]",A Bath resident was wrongly fined by the local officials because an automated license plate recognition camera misread the text on her shirt as a license plate number.,"Traffic Camera Misread Text on Pedestrian's Shirt as License Plate, Causing UK Officials to Issue Fine to an Unrelated Person"
172,01/07/2020,"[1550,3859,3912]","[""appriss"",""narxcare"",""avertd""]","[""appriss""]","[""american-physicians"",""american-pharmacists"",""american-patients-of-minority-groups"",""american-patients""]","NarxCare's overdose risk algorithm, lacking peer-reviewed validation, uses sensitive data like doctor visits, prescriptions, and possibly genetic information, leading to significant biases against women and Black patients. Factors like sexual abuse and criminal records exacerbate stigmas and disparities, often resulting in unjust denial of necessary pain medication. The newly approved AvertD genetic test shares similar issues, further complicating and potentially harming medical treatment decisions.",NarxCare's Risk Score Model Allegedly Lacked Validation and Trained on Data with High Risk of Bias
173,30/07/2021,[1551],"[""unknown""]","[""unknown""]","[""doctors"",""covid-patients""]","AI tools failed to sufficiently predict COVID patients, some potentially harmful.","AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful"
176,02/03/2022,[1557],"[""oregon-state-university""]","[""starship-technologies""]","[""oregon-state-university"",""freight-train-crew""]"," A Starship food delivery robot deployed by Oregon State University reportedly failed to cross the railroad, becoming stranded, and ending up being struck by an oncoming freight train.","Starship's Autonomous Food Delivery Robot Allegedly Stranded at Railroad Crossing in Oregon, Run over by Freight Train"
180,19/02/2020,"[1564,1582,2236]","[""malaysian-judiciary"",""malaysian-courts""]","[""sarawak-information-systems""]","[""malaysian-convicted-people""]","The AI system used by the Malaysian judiciary which explicitly considered age, employment, and socio-economic data provided sentencing to a drug possession case that was alleged by lawyer to be disproportionately high for the crime committed.",Algorithm Used by the Malaysian Judiciary Reportedly Recommended Unusually High Sentencing to a Drug Possession Case
184,12/04/2018,"[1581,1584,1899]","[""companhia-do-metropolitano-de-sao-paulo""]","[""securos""]","[""sao-paulo-metro-users"",""sao-paulo-citizens""]"," A facial recognition program rolled out by Sao Paulo Metro Stations was suspended following a court ruling in response to a lawsuit by civil society organizations, who cited fear of it being integrated with other electronic surveillance entities without consent, and lack of transparency about the biometric data collection process of metro users.",Facial Recognition Program in Sao Paulo Metro Stations Suspended for Illegal and Disproportionate Violation of Citizens' Right to Privacy
186,26/07/2007,"[1590,1591,1592,1593,1788,1933,1934]","[""spanish-ministry-of-interior""]","[""spanish-secretary-of-state-for-security"",""spanish-ministry-of-interior""]","[""spanish-victims-of-gender-violence""]"," In Spain, the algorithm that assesses recidivism risk in gender violence, VioGen, have critically underestimated the level of risk in a series of cases that ended in homicide of women and children since its first deployment.","Algorithm Assessing Risk Faced by Victims of Gender Violence Misclassified Low-Risk Cases, Allegedly Leading to Homicide of Women and Children in Spain"
188,11/04/2018,"[1603,1604,1782,1605]","[""salta-city-government""]","[""microsoft""]","[""salta-teenage-girls"",""salta-girls-of-minority-groups""]","In 2018, during the abortion-decriminalization debate in Argentina, the Salta city government deployed a teenage-pregnancy predictive algorithm built by Microsoft that allegedly lacked a defined purpose, explicitly considered sensitive information such as disability and whether their home had access to hot water.",Argentinian City Government Deployed Teenage-Pregnancy Predictive Algorithm Using Invasive Demographic Data
189,15/10/2019,"[1609,1670,1671,1672,1673,1674]","[""uk-department-of-work-and-pensions""]","[""uipath""]","[""people-with-disabilities""]",People with disabilities were allegedly disproportionately targeted by a benefit fraud detection algorithm which the UK's Department of Work and Pensions was urged to disclose.,Opaque Fraud Detection Algorithm by the UK's Department of Work and Pensions Allegedly Discriminated against People with Disabilities
192,17/03/2022,"[1616,1617]","[""estee-lauder""]","[""hirevue""]","[""pseudonymous-estee-lauder's-former-staff""]",Three make-up artists lost their positions following an algorithmically-assessed video interview by HireVue who reportedly failed to provide adequate explanation of the findings.,Three Make-Up Artists Lost Jobs Following Black-Box Automated Decision by HireVue
193,27/11/2013,[1620],"[""target""]","[""fireeye""]","[""target"",""target-customers""]","Alerts about a Target data breach were ignored by Minneapolis Target's staff reportedly due to them being included with many other potential false alerts, and due to some of the company's network infiltration alerting systems being off to reduce such false alerts, causing private data theft for millions of customers.  ","Excessive Automated Monitoring Alerts Ignored by Staff, Resulting in Private Data Theft of Seventy Million Target Customers"
194,01/02/2018,[1621],"[""unnamed-australian-telecommunications-company""]","[""unknown""]","[""unnamed-australian-telecommunications-company""]","In early 2018, an Australian telecommunications company's incident management AI excessively deployed technicians into the field, and was allegedly unable to be stopped by the automation team.","Australian Telco's Incident Management Bot Excessively Sent Technicians in the Field by Mistake, Allegedly Costing Millions"
195,01/09/2015,"[1622,1623,1624,1625,1626,1627,1628,1629,1630,1631,1632,1843]","[""pasco-sheriff's-office""]","[""unknown""]","[""pasco-residents"",""pasco-black-students"",""pasco-students-with-disabilities""]","The Intelligence-Led Policing model rolled out by the Pasco County Sheriff's Office was allegedly developed based on flawed science and biased data that also contained sensitive information and irrelevant attributes about students, which critics said to be discriminatory.",Predictive Policing Program by Florida Sheriff's Office Allegedly Violated Residents' Rights and Targeted Children of Vulnerable Groups
203,10/02/2022,"[1659,1660,1661]","[""uber""]","[""uber""]","[""uber-drivers""]","Uber launched a new but opaque algorithm to determine drivers' pay in the US which allegedly caused drivers to experience lower fares, confusing fare drops, and a decrease in rides.",Uber Launched Opaque Algorithm That Changes Drivers' Payments in the US
204,11/02/2022,"[1662,1663,1664,1665]","[""zhihu""]","[""sangfor-technologies""]","[""zhihu-employees"",""chinese-tech-workers""]","The firing of an employee at Zhihu, a large Q&A platform in China, was allegedly caused by the use of a behavioral perception algorithm which claimed to predict a worker's resignation risk using their online footprints, such as browsing history and internal communication.",A Chinese Tech Worker at Zhihu Fired Allegedly via a Resignation Risk Prediction Algorithm
207,10/01/2021,"[1679,1680,1681,1682]","[""honolulu-police-department""]","[""boston-dynamics""]","[""honolulu-homeless-people""]",Honolulu Police Department spent federal pandemic relief funds on a robot dog to take body temperatures and patrol a homeless quarantine encampment which local civil rights advocates criticized as dehumanizing.,Hawaii Police Deployed Robot Dog to Patrol a Homeless Encampment
217,16/11/2016,"[1725,1726]","[""evolver""]","[""evolver""]","[""fair-visitors""]","At the 18th China Hi-Tech Fair, a robot suddenly smashed through a glass booth and injured a visitor, after a staff member reportedly mistakenly pressed a button, causing it to reverse and accelerate.","Robot at a Chinese Tech Fair Smashed a Glass Booth, Injuring a Visitor"
225,07/04/2017,"[1739,1740]","[""jupiter-hospital"",""memorial-sloan-kettering""]","[""ibm-watson-health""]","[""oncologists"",""cancer-patients""]",Internal documents from IBM Watson Health showed negative assessments from customers such as Florida's Jupiter Hospital and Memorial Sloan Kettering criticizing its Watson for Oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations
235,15/04/2016,[1756],"[""ping-an""]","[""ping-an""]","[""ping-an-customers"",""chinese-minority-groups""]","Customers' untrustworthiness and unprofitability were reportedly determined by Ping An, a large insurance company in China, via facial-recognition measurements of micro-expressions and body-mass indices (BMI), which critics argue was likely to make mistakes, discriminate against certain ethnic groups, and undermine its own industry.","Chinese Insurer Ping An Employed Facial Recognition to Determine Customers' Untrustworthiness, Which Critics Alleged to Likely Make Errors and Discriminate"
238,01/10/2018,[1762],"[""oregon-department-of-human-services""]","[""oregon-department-of-human-services""]","[""children-of-minority-groups"",""families-of-minority-groups""]","Oregon's Department of Human Services (DHS) stopped using its Safety at Screening Tool, that is aimed to predict the risk that children wind up in foster care or be investigated in the future, and opted for a new process allegedly to reduce disparities and improve racially equitable decision-making.",Oregon's Screening Tool for Child Abuse Cases Discontinued Following Concerns of Racial Bias
239,01/09/2009,[1764],"[""intensive-partnerships-for-effective-teaching""]","[""intensive-partnerships-for-effective-teaching""]","[""students"",""low-income-minority-students"",""teachers""]","Gates-Foundation-funded Intensive Partnerships for Effective Teaching Initiative's algorithmic program to assess teacher performance reportedly failed to achieve its goals for student outcomes, particularly for minority students, and was criticized for potentially causing harm against teachers.",Algorithmic Teacher Evaluation Program Failed Student Outcome Goals and Allegedly Caused Harm Against Teachers
240,29/06/2021,"[1767,1768,1769,1770,2230]","[""github"",""programmers""]","[""github""]","[""intellectual-property-rights-holders""]",Users of GitHub Copilot can produce source code subject to license requirements without attributing and licensing the code to the rights holder.,"GitHub Copilot, Copyright Infringement and Open Source Licensing"
242,24/02/2021,[1775],"[""chakan-plant-of-automotive-stampings-and-assemblies""]","[""unknown""]","[""umesh-ramesh-dhake""]",A sensor snag resulted in an automotive parts factory robot falling on a factory worker in India,Manufacturing Robot Failure Caused Factory Worker's Death in India
244,03/08/2020,[1783],"[""aurora-police-department""]","[""unknown""]","[""the-gilliam-family""]","An automated plate reader reportedly matched a license plate information, but of a family's minivan and an alleged motorcycle in Montana that was reportedly stolen earlier in the year, resulting in them and their children being held at gunpoint and detained in handcuffs by multiple Aurora police officers.","Colorado Police's Automated License Plate Reader (ALPR) Matched a Family's Minivan's Plate to That of a Stolen Vehicle Allegedly, Resulting in Detainment at Gunpoint"
245,30/03/2009,[1784],"[""san-francisco-police-department""]","[""unknown""]","[""denise-green""]","In San Francisco, an automated license plate reader (ALPR) camera misread a number as belonging to a stolen vehicle having the wrong make, but its photo was not visually confirmed by the police due to poor quality and allegedly despite multiple chances prior to making a traffic stop, causing an innocent person to be pulled over at gunpoint and restrained in handcuffed.",Unverified Misreading by Automated Plate Reader Led to Traffic Stop and Restraint of an Innocent Person at Gunpoint in California
246,16/04/2014,"[1785,1787]","[""prairie-village-police-department""]","[""unknown""]","[""mark-molner""]","An automated license plate reader (ALPR) camera misread a 7 as a 2 and incorrectly alerted the local police about a stolen Oldsmobile car, which was allegedly not able to be verified by an officer before a traffic stop was effected on a BMW in Kansas City suburb.","Misreading of an Automated License Plate Reader (ALPR) Unverified by Police, Resulting in Traffic Stop in Missouri"
